"runId","processingRound","relName","relId","scoreDuringRun","rankingDuringRun","runFoundPredictor","relationshipCorrectPredictions","relationshipIncorrectPredictions","relationshipMadeAllCorrectPredictions","usedToMakeFinalPrediction","label_notNullRowsInTable","label_uniqueRowsInTable","label_numRowsInTable","label_nullRowsInTable","label_numAncestorAtts","label_depth","label_guessedType","label_isDuplicate","label_isAlmostDuplicate","label_bestTargetAttRowsCovered","label_bestPercentageOfTargetAttCovered","label_bestTargetAttTotalLength","label_bestTargetAttRows","label_bestAimForScore","label_totalLength","label_firstRowLength","label_averageRowLength","label_numParents","label_generatedByConstantCreator","label_bestCoveringRows","label_bestCoveringPercentageAvg","label_inputToRelationships","label_RRAToRelationships","label_datatableAttsUsedInRelationships","label_datatableAttsUsedAsRRAsInRelationships","rra_notNullRowsInTable","rra_uniqueRowsInTable","rra_numRowsInTable","rra_nullRowsInTable","rra_numAncestorAtts","rra_depth","rra_guessedType","rra_isDuplicate","rra_isAlmostDuplicate","rra_bestTargetAttRowsCovered","rra_bestPercentageOfTargetAttCovered","rra_bestTargetAttTotalLength","rra_bestTargetAttRows","rra_bestAimForScore","rra_totalLength","rra_firstRowLength","rra_averageRowLength","rra_numParents","rra_generatedByConstantCreator","rra_bestCoveringRows","rra_bestCoveringPercentageAvg","rra_inputToRelationships","rra_RRAToRelationships","rra_datatableAttsUsedInRelationships","rra_datatableAttsUsedAsRRAsInRelationships","firstInput_notNullRowsInTable","firstInput_uniqueRowsInTable","firstInput_numRowsInTable","firstInput_nullRowsInTable","firstInput_numAncestorAtts","firstInput_depth","firstInput_guessedType","firstInput_isDuplicate","firstInput_isAlmostDuplicate","firstInput_bestTargetAttRowsCovered","firstInput_bestPercentageOfTargetAttCovered","firstInput_bestTargetAttTotalLength","firstInput_bestTargetAttRows","firstInput_bestAimForScore","firstInput_totalLength","firstInput_firstRowLength","firstInput_averageRowLength","firstInput_numParents","firstInput_generatedByConstantCreator","firstInput_bestCoveringRows","firstInput_bestCoveringPercentageAvg","firstInput_inputToRelationships","firstInput_RRAToRelationships","firstInput_datatableAttsUsedInRelationships","firstInput_datatableAttsUsedAsRRAsInRelationships"
"testdata/BBC urls.txttestdata/BBC headlines.txt2014-08-22 13:09:36","3","RMKNNLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\nToRows-1(SplitOnString ToRows-1(SplitOnString'ToRows-1(getInputFromFile()))) (t290_0.2)
From:DateToDateParts-2(normalise(SplitCharactersToRows-0(getInputFromFile()))) (t251_1.24) 

","-2147480124",NULL,NULL,"1","0","0","0","0","24","24","24","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","24","2","121","97","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","120","1","121","1","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","BestColumnLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString ToColumns-4(SplitOnString\r\nToRows-1(SplitOnString;ToRows-1(getInputFromFile()))) (t1530_0.10)
From:normalise(stringLength(jsonDecodeList-1(getInputFromFile()))) (t1522_1.51) 

","-2147459839",NULL,NULL,"1","0","0","0","0","3","1","4","1","4","9",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","3","3","3","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","22","1","0","3","3","3","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","11","1","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","RMLinearRegressionLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString;ToRows-0(SplitOnString\nToRows-1(SplitOnString'ToRows-1(getInputFromFile()))) (t1602_0.1)
From:firstCharacter(jsonDecodeList-1(getInputFromFile())) (t1522_1.14) 

","-2147452648",NULL,NULL,"1","0","0","0","0","18","2","18","0","4","9",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","18","6","18","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","3","1","3","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","11","1","0"
"testdata/listOfGoTEpsTable-series1.htmtestdata/listOfGoTEpNamesNumbers-json-series1.json2014-08-22 13:17:07","2","RMKNNLearner
Correct Training Predictions: 0 / 0
Label:JsonDecodeMapManyColsAndKeysOutSingleRow-2(jsonDecodeList-1(getInputFromFile())) (t1056_0.5)
From:HtmlXPathSelector#ep10-1(getInputFromFile()) (t1032_1.25) 

","-2147441320",NULL,NULL,"1","0","0","0","0","10","1","10","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","1","17","7","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","3","WekaLinearRegressionIntegerLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\nToRows-1(SplitOnString/ToRows-1(getInputFromFile())) (t395_0.2)
From:stringLength(DateToDateParts-6(ReadCSVToTable-1(getInputFromFile()))) (t373_1.47) 

","-2147438335",NULL,NULL,"1","0","0","0","0","12","7","12","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","12","3","12","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","2","7","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","6","5","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","2","ZeroLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString/201ToColumns-1(SplitOnString\nToRows-1(getInputFromFile())) (t379_0.9)
From:ReadCSVToTable-1(getInputFromFile()) (t373_0.2) 

","-2147434500",NULL,NULL,"1","0","0","0","0","4","2","4","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","4","1","7","3","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","7","7","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","3","ZeroLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString/201ToColumns-1(SplitOnString\nToRows-1(getInputFromFile())) (t379_0.9)
From:ReadCSVToTable-1(getInputFromFile()) (t373_0.2) 

","-2147434500",NULL,NULL,"1","0","0","0","0","4","2","4","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","4","1","7","3","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","12","5","0","7","7","7","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","6","5","0"
"testdata/listOfGoTEpsTable-series1.htmtestdata/listOfGoTEpNamesNumbers-json-series1.json2014-08-22 13:17:07","2","RMKNNLearner
Correct Training Predictions: 0 / 0
Label:jsonDecodeList-0(getInputFromFile()) (t1056_0.1)
From:HtmlXPathSelector#cite_ref-13-1(getInputFromFile()) (t1032_0.10) 

","-2147433941",NULL,NULL,"1","0","0","0","0","10","10","10","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","10","105","95","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","3","WekaLinearRegressionLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\nToRows-1(SplitOnString/ToRows-1(getInputFromFile())) (t395_0.2)
From:normalise(ReadCSVToTable-0(getInputFromFile())) (t373_1.14) 

","-2147432525",NULL,NULL,"1","0","0","0","0","12","7","12","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","12","3","12","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","7","7","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","6","5","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","BestColumnLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\r\nToRows-0(SplitOnString\nToRows-1(SplitOnString;ToRows-1(getInputFromFile()))) (t1552_0.4)
From:notProcessor(getInputFromFile()) (t1520_0.3) 

","-2147419460",NULL,NULL,"1","0","0","0","0","3","1","5","2","4","9",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","3","3","3","0","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","22","1","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
